iter	Passed	Remaining
456	853	1013
457	853	1010
458	854	1006
459	854	1003
460	855	1000
461	856	996
462	856	993
463	857	990
464	857	987
465	858	983
466	858	980
467	859	977
468	860	973
469	860	970
470	861	967
471	861	963
472	862	960
473	862	957
474	863	954
475	864	951
476	864	948
477	865	944
478	866	942
479	867	939
480	867	936
481	868	933
482	868	930
483	869	926
484	870	923
485	870	920
486	871	917
487	871	914
488	872	911
489	872	908
490	873	905
491	874	902
492	874	899
493	875	896
494	875	893
495	876	890
496	876	887
497	877	884
498	878	881
499	878	878
500	879	875
501	880	872
502	880	870
503	881	867
504	882	865
505	883	862
506	883	859
507	884	856
508	884	853
509	885	850
510	885	847
511	886	844
512	887	842
513	887	839
514	888	836
515	888	833
516	889	830
517	889	828
518	890	825
519	891	822
520	891	819
521	892	817
522	892	814
523	893	811
524	893	808
525	894	806
526	895	803
527	895	800
528	897	798
529	905	802
530	909	803
531	911	801
532	913	800
533	914	797
534	915	795
535	916	793
536	917	790
537	917	788
538	918	785
539	919	783
540	920	780
541	920	778
542	921	775
543	922	772
544	922	770
545	923	767
546	923	765
547	924	762
548	925	759
549	925	757
550	926	754
551	931	756
552	937	757
553	940	757
554	942	755
555	944	754
556	945	751
557	946	749
558	947	747
559	948	744
560	948	742
561	949	740
562	950	737
563	950	735
564	951	732
565	952	730
566	952	727
567	953	725
568	954	722
569	954	720
570	955	717
571	955	715
572	956	712
573	958	711
574	965	713
575	969	713
576	971	711
577	973	710
578	974	708
579	975	706
580	977	704
581	978	702
582	978	700
583	979	697
584	980	695
585	981	693
586	981	690
587	982	688
588	983	685
589	983	683
590	984	681
591	984	678
592	985	676
593	985	673
594	986	671
595	987	669
596	988	667
597	996	669
598	1000	670
599	1003	669
600	1005	667
601	1006	665
602	1007	663
603	1008	661
604	1009	658
605	1010	656
606	1010	654
607	1011	652
608	1012	649
609	1012	647
610	1013	645
611	1014	642
612	1014	640
613	1015	638
614	1015	636
615	1016	633
616	1017	631
617	1018	629
618	1018	627
619	1019	624
620	1020	622
621	1020	620
622	1021	617
623	1021	615
624	1022	613
625	1022	611
626	1023	608
627	1023	606
628	1024	604
629	1025	601
630	1025	599
631	1026	597
632	1026	595
633	1027	592
634	1027	590
635	1028	588
636	1028	586
637	1029	584
638	1029	581
639	1030	579
640	1031	577
641	1031	575
642	1032	573
643	1033	571
644	1034	569
645	1034	566
646	1035	564
647	1035	562
648	1036	560
649	1037	558
650	1037	556
651	1038	554
652	1038	552
653	1039	549
654	1039	547
655	1040	545
656	1041	543
657	1041	541
658	1042	539
659	1042	537
660	1043	535
661	1043	532
662	1044	530
663	1045	528
664	1045	526
665	1046	524
666	1046	522
667	1047	520
668	1048	518
669	1054	519
670	1059	519
671	1062	518
672	1065	517
673	1066	515
674	1067	514
675	1068	512
676	1069	510
677	1070	508
678	1071	506
679	1071	504
680	1072	502
681	1073	500
682	1074	498
683	1074	496
684	1075	494
685	1075	492
686	1076	490
687	1076	488
688	1077	486
689	1078	484
690	1080	482
691	1082	481
692	1089	482
693	1093	481
694	1095	480
695	1134	495
696	1135	493
697	1136	491
698	1137	489
699	1138	487
700	1138	485
701	1144	485
702	1184	500
703	1187	499
704	1189	497
705	1192	496
706	1193	494
707	1194	492
708	1195	490
709	1196	488
710	1197	486
711	1197	484
712	1198	482
713	1199	480
714	1199	478
715	1200	476
716	1205	475
717	1219	478
718	1223	477
719	1224	476
720	1226	474
721	1227	472
722	1239	474
723	1242	473
724	1244	471
725	1245	469
726	1246	468
727	1247	466
728	1248	464
729	1249	462
730	1250	460
731	1252	458
732	1252	456
733	1253	454
734	1254	452
735	1254	450
736	1255	447
737	1255	445
738	1256	443
739	1257	441
740	1257	439
741	1258	437
742	1258	435
743	1264	435
744	1283	439
745	1284	437
746	1284	435
747	1285	433
748	1286	431
749	1286	428
750	1287	426
751	1288	424
752	1288	422
753	1289	420
754	1290	418
755	1290	416
756	1291	414
757	1291	412
758	1292	410
759	1292	408
760	1293	406
761	1293	404
762	1294	402
763	1294	400
764	1295	397
765	1296	395
766	1296	393
767	1297	391
768	1305	392
769	1310	391
770	1312	389
771	1314	388
772	1315	386
773	1316	384
774	1317	382
775	1318	380
776	1319	378
777	1320	376
778	1320	374
779	1321	372
780	1322	370
781	1322	368
782	1323	366
783	1324	364
784	1324	362
785	1325	360
786	1325	358
787	1326	356
788	1327	354
789	1328	353
790	1328	351
791	1329	349
792	1329	347
793	1330	345
794	1331	343
795	1331	341
796	1332	339
797	1332	337
798	1333	335
799	1333	333
800	1334	331
801	1336	329
802	1341	329
803	1347	328
804	1349	326
805	1350	325
806	1351	323
807	1353	321
808	1354	319
809	1355	317
810	1355	315
811	1356	314
812	1357	312
813	1358	310
814	1360	308
815	1361	306
816	1362	305
817	1363	303
818	1377	304
819	1379	302
820	1380	301
821	1382	299
822	1382	297
823	1383	295
824	1384	293
825	1385	291
826	1386	289
827	1387	288
828	1389	286
829	1390	284
830	1391	283
831	1398	282
832	1404	281
833	1407	280
834	1409	278
835	1410	276
836	1411	274
837	1412	273
838	1413	271
839	1414	269
840	1415	267
841	1415	265
842	1416	263
843	1417	261
844	1417	260
845	1418	258
846	1420	256
847	1431	256
848	1436	255
849	1437	253
850	1438	251
851	1439	250
852	1441	248
853	1443	246
854	1444	244
855	1445	243
856	1445	241
857	1446	239
858	1447	237
859	1448	235
860	1460	235
861	1463	234
862	1466	232
863	1467	230
864	1468	229
865	1468	227
866	1471	225
867	1472	223
868	1473	222
869	1473	220
870	1474	218
871	1475	216
872	1475	214
873	1477	213
874	1492	213
875	1509	213
876	1511	211
877	1512	210
878	1512	208
879	1520	207
880	1529	206
881	1531	204
882	1532	203
883	1533	201
884	1534	199
885	1535	197
886	1536	195
887	1537	193
888	1537	192
889	1538	190
890	1539	188
891	1539	186
892	1540	184
893	1541	182
894	1542	181
895	1543	179
896	1544	177
897	1544	175
898	1545	173
899	1546	171
900	1546	169
901	1547	168
902	1548	166
903	1548	164
904	1549	162
905	1549	160
906	1550	158
907	1551	157
908	1551	155
909	1552	153
910	1553	151
911	1553	149
912	1554	148
913	1554	146
914	1555	144
915	1556	142
916	1556	140
917	1559	139
918	1566	138
919	1570	136
920	1573	134
921	1574	133
922	1575	131
923	1576	129
924	1577	127
925	1578	126
926	1579	124
927	1580	122
928	1580	120
929	1581	119
930	1582	117
931	1582	115
932	1583	113
933	1584	111
934	1584	110
935	1585	108
936	1585	106
937	1586	104
938	1587	103
939	1592	101
940	1598	100
941	1601	98
942	1603	96
943	1604	95
944	1605	93
945	1606	91
946	1608	89
947	1608	88
948	1609	86
949	1610	84
950	1611	83
951	1611	81
952	1612	79
953	1613	77
954	1613	76
955	1614	74
956	1615	72
957	1615	70
958	1616	69
959	1617	67
960	1618	65
961	1619	63
962	1619	62
963	1620	60
964	1620	58
965	1621	57
966	1621	55
967	1622	53
968	1622	51
969	1623	50
970	1624	48
971	1624	46
972	1625	45
973	1625	43
974	1626	41
975	1627	40
976	1627	38
977	1628	36
978	1628	34
979	1629	33
980	1630	31
981	1630	29
982	1631	28
983	1631	26
984	1634	24
985	1641	23
986	1644	21
987	1647	20
988	1649	18
989	1650	16
990	1651	14
991	1652	13
992	1653	11
993	1654	9
994	1655	8
995	1656	6
996	1656	4
997	1657	3
998	1658	1
999	1658	0
